model_name,gamma,epsilon_decay,alpha,success_rate,avg_return,avg_length
Q_LEARN_model_22,0.99,7.5e-07,0.1,74.38,0.739,44.982
Q_LEARN_model_13,0.99,2e-06,0.05,74.37,0.738,44.275
Q_LEARN_model_14,0.99,2e-06,0.1,74.3,0.74,44.57
Q_LEARN_model_21,0.99,7.5e-07,0.05,74.2,0.738,44.443
Q_LEARN_model_15,0.99,2e-06,0.25,73.96,0.747,44.254
Q_LEARN_model_16,0.99,2e-06,0.5,73.79,0.746,44.182
Q_LEARN_model_18,0.99,5e-07,0.1,73.52,0.742,44.313
Q_LEARN_model_2,0.95,2e-06,0.1,73.23,0.735,41.4
Q_LEARN_model_5,0.95,5e-07,0.05,73.04,0.73,41.633
Q_LEARN_model_1,0.95,2e-06,0.05,72.96,0.728,41.414
Q_LEARN_model_3,0.95,2e-06,0.25,72.91,0.729,41.674
Q_LEARN_model_6,0.95,5e-07,0.1,72.65,0.726,41.188
Q_LEARN_model_7,0.95,5e-07,0.25,72.64,0.726,41.216
Q_LEARN_model_9,0.95,7.5e-07,0.05,72.44,0.73,41.412
Q_LEARN_model_24,0.99,7.5e-07,0.5,72.1,0.735,41.598
Q_LEARN_model_33,0.9,7.5e-07,0.05,71.64,0.702,40.101
Q_LEARN_model_34,0.9,7.5e-07,0.1,71.24,0.716,40.164
Q_LEARN_model_29,0.9,5e-07,0.05,70.78,0.708,40.481
Q_LEARN_model_12,0.95,7.5e-07,0.5,69.72,0.702,39.381
Q_LEARN_model_28,0.9,2e-06,0.5,69.02,0.691,39.273
Q_LEARN_model_17,0.99,5e-07,0.05,65.33,0.65,45.625
Q_LEARN_model_23,0.99,7.5e-07,0.25,54.67,0.54,63.09
Q_LEARN_model_10,0.95,7.5e-07,0.1,50.63,0.512,34.188
Q_LEARN_model_36,0.9,7.5e-07,0.5,50.02,0.498,34.117
Q_LEARN_model_32,0.9,5e-07,0.5,48.32,0.487,33.799
Q_LEARN_model_8,0.95,5e-07,0.5,48.31,0.486,34.081
Q_LEARN_model_20,0.99,5e-07,0.5,48.16,0.494,61.034
Q_LEARN_model_25,0.9,2e-06,0.05,44.1,0.444,30.369
Q_LEARN_model_11,0.95,7.5e-07,0.25,33.32,0.324,27.82
Q_LEARN_model_30,0.9,5e-07,0.1,32.24,0.329,27.675
Q_LEARN_model_19,0.99,5e-07,0.25,30.73,0.311,35.603
Q_LEARN_model_26,0.9,2e-06,0.1,28.16,0.293,23.003
Q_LEARN_model_35,0.9,7.5e-07,0.25,19.46,0.196,11.616
Q_LEARN_model_31,0.9,5e-07,0.25,12.84,0.118,8.582
Q_LEARN_model_27,0.9,2e-06,0.25,10.44,0.101,20.16
Q_LEARN_model_4,0.95,2e-06,0.5,0.0,0.0,41.382
