model_name,gamma,epsilon_decay,alpha,success_rate,avg_return,avg_length
SARSA_0_model_9,0.99,8e-07,0.05,75.8,0.722,41.702
SARSA_0_model_10,0.99,8e-07,0.1,74.1,0.743,42.836
SARSA_0_model_11,0.99,8e-07,0.25,72.0,0.73,42.364
SARSA_0_model_22,0.9,8e-07,0.1,70.4,0.734,39.617
SARSA_0_model_5,0.99,3e-07,0.05,68.6,0.71,39.582
SARSA_0_model_2,0.99,2e-07,0.1,64.0,0.643,40.894
SARSA_0_model_18,0.9,3e-07,0.1,61.3,0.591,37.236
SARSA_0_model_6,0.99,3e-07,0.1,57.9,0.608,35.799
SARSA_0_model_7,0.99,3e-07,0.25,52.1,0.502,30.301
SARSA_0_model_17,0.9,3e-07,0.05,41.7,0.395,25.631
SARSA_0_model_13,0.9,2e-07,0.05,39.4,0.405,35.723
SARSA_0_model_12,0.99,8e-07,0.5,38.7,0.346,54.938
SARSA_0_model_1,0.99,2e-07,0.05,35.5,0.341,23.747
SARSA_0_model_23,0.9,8e-07,0.25,32.3,0.3,26.144
SARSA_0_model_24,0.9,8e-07,0.5,27.5,0.268,28.421
SARSA_0_model_15,0.9,2e-07,0.25,21.8,0.227,19.329
SARSA_0_model_14,0.9,2e-07,0.1,20.6,0.173,14.954
SARSA_0_model_21,0.9,8e-07,0.05,20.0,0.207,13.834
SARSA_0_model_3,0.99,2e-07,0.25,19.2,0.192,19.313
SARSA_0_model_4,0.99,2e-07,0.5,18.9,0.187,33.708
SARSA_0_model_16,0.9,2e-07,0.5,13.8,0.121,16.794
SARSA_0_model_20,0.9,3e-07,0.5,13.6,0.145,10.841
SARSA_0_model_19,0.9,3e-07,0.25,13.0,0.145,18.864
SARSA_0_model_8,0.99,3e-07,0.5,7.2,0.086,7.184
