model_name,gamma,epsilon_decay,alpha,lambda,success_rate,avg_return,avg_length
SARSA_L_model_17,0.99,4e-06,0.1,0.9,50.4,0.515,34.067
SARSA_L_model_13,0.99,4e-06,0.05,0.8,44.5,0.433,30.454
SARSA_L_model_1,0.99,1.5e-06,0.05,0.8,23.5,0.229,19.303
SARSA_L_model_19,0.9,1.5e-06,0.05,0.8,22.4,0.218,20.037
SARSA_L_model_22,0.9,1.5e-06,0.1,0.8,21.0,0.21,18.386
SARSA_L_model_27,0.9,1e-06,0.05,0.95,20.8,0.193,19.094
SARSA_L_model_34,0.9,4e-06,0.1,0.8,20.5,0.196,15.896
SARSA_L_model_10,0.99,1e-06,0.1,0.8,19.1,0.198,17.632
SARSA_L_model_16,0.99,4e-06,0.1,0.8,18.2,0.17,18.109
SARSA_L_model_30,0.9,1e-06,0.1,0.95,17.6,0.176,41.413
SARSA_L_model_21,0.9,1.5e-06,0.05,0.95,16.1,0.144,17.075
SARSA_L_model_31,0.9,4e-06,0.05,0.8,14.9,0.144,14.279
SARSA_L_model_18,0.99,4e-06,0.1,0.95,14.2,0.124,12.365
SARSA_L_model_4,0.99,1.5e-06,0.1,0.8,13.9,0.138,10.288
SARSA_L_model_29,0.9,1e-06,0.1,0.9,12.6,0.122,28.742
SARSA_L_model_3,0.99,1.5e-06,0.05,0.95,11.7,0.106,8.817
SARSA_L_model_6,0.99,1.5e-06,0.1,0.95,10.8,0.108,17.411
SARSA_L_model_25,0.9,1e-06,0.05,0.8,10.7,0.121,10.246
SARSA_L_model_26,0.9,1e-06,0.05,0.9,10.7,0.099,8.698
SARSA_L_model_32,0.9,4e-06,0.05,0.9,10.6,0.116,10.023
SARSA_L_model_15,0.99,4e-06,0.05,0.95,10.2,0.107,10.348
SARSA_L_model_20,0.9,1.5e-06,0.05,0.9,9.6,0.114,17.402
SARSA_L_model_7,0.99,1e-06,0.05,0.8,9.1,0.077,6.599
SARSA_L_model_35,0.9,4e-06,0.1,0.9,9.0,0.11,9.642
SARSA_L_model_5,0.99,1.5e-06,0.1,0.9,8.7,0.08,8.59
SARSA_L_model_8,0.99,1e-06,0.05,0.9,7.0,0.066,8.532
SARSA_L_model_11,0.99,1e-06,0.1,0.9,6.1,0.081,7.711
SARSA_L_model_23,0.9,1.5e-06,0.1,0.9,5.9,0.054,10.437
SARSA_L_model_24,0.9,1.5e-06,0.1,0.95,5.8,0.049,12.989
SARSA_L_model_12,0.99,1e-06,0.1,0.95,4.8,0.048,7.821
SARSA_L_model_28,0.9,1e-06,0.1,0.8,4.5,0.059,6.643
SARSA_L_model_33,0.9,4e-06,0.05,0.95,3.6,0.044,8.0
SARSA_L_model_36,0.9,4e-06,0.1,0.95,3.4,0.041,5.501
SARSA_L_model_2,0.99,1.5e-06,0.05,0.9,2.7,0.018,6.136
SARSA_L_model_14,0.99,4e-06,0.05,0.9,2.1,0.012,8.039
SARSA_L_model_9,0.99,1e-06,0.05,0.95,0.0,0.0,5.949
